,ds,y,unique_id,12-day EMA,26-day EMA,MACD,Signal Line,MACD Histogram,RSI,OBV,TimeLLM
90,2023-03-23,120.56187438964844,JPM,124.23323142243537,127.46428209572672,-3.231050673291364,-2.390019548119031,-0.8410311251723326,31.16036051068751,-277729000.0,132.36168
91,2023-03-24,118.72740936279295,JPM,123.38618187479808,126.81710633773164,-3.430924462933561,-2.598200531081937,-0.832723931851624,30.41765683962244,-300040100.0,131.08589
92,2023-03-27,122.13021087646484,JPM,123.1929555673622,126.46992889615632,-3.276973328794128,-2.7339550906243755,-0.5430182381697524,38.7718988262085,-281186200.0,132.42622
93,2023-03-28,122.50090789794922,JPM,123.0864866951448,126.17592734073358,-3.0894406455887804,-2.8050522016172565,-0.2843884439715238,40.01789299236045,-270365700.0,129.10983
94,2023-03-29,122.7480239868164,JPM,123.03441550924812,125.92200857377676,-2.8875930645286445,-2.8215603741995343,-0.0660326903291101,48.39913530905591,-255770400.0,129.98805
95,2023-03-30,122.37733459472656,JPM,122.93332613778324,125.65944013088416,-2.7261139931009097,-2.8024710979798093,0.0763571048788995,42.910856632694056,-267905100.0,132.41321
96,2023-03-31,123.86012268066406,JPM,123.07591022130336,125.5261573567938,-2.4502471354904145,-2.7320263054819307,0.2817791699915162,48.60619194648478,-254799900.0,130.97179
97,2023-04-03,123.71754455566406,JPM,123.1746231958204,125.39218603819158,-2.21756284237118,-2.629133612859781,0.4115707704886011,42.68854809434044,-266575300.0,129.5818
98,2023-04-04,122.06366729736328,JPM,123.00370690375009,125.14562909442652,-2.1419221906764534,-2.531691328423116,0.3897691377466623,50.30909628879754,-278155200.0,131.214
99,2023-04-05,122.24568176269533,JPM,122.88708765128013,124.93081818096496,-2.0437305296848507,-2.4340991686754627,0.390368638990612,45.46573161695002,-268540500.0,129.54195
100,2023-04-06,122.111572265625,JPM,122.76777759194856,124.72198515019905,-1.954207558250488,-2.338120846590468,0.38391328833998,57.08211272149965,-277300700.0,129.6328
101,2023-04-10,122.51390075683594,JPM,122.72871961731585,124.55842334328328,-1.82970372596742,-2.2364374224658583,0.4067336964984385,54.90514357558205,-267823400.0,128.52956
102,2023-04-11,123.117431640625,JPM,122.78852146705572,124.45168321716044,-1.6631617501047202,-2.1217822879936308,0.4586205378889105,46.61817953738962,-257307100.0,128.8587
103,2023-04-12,123.0982666015625,JPM,122.83617456467216,124.35143013452355,-1.515255569851405,-2.000476944365186,0.485221374513781,59.90752656442539,-269128100.0,131.2351
104,2023-04-13,123.56766510009766,JPM,122.94871157012224,124.29337346530684,-1.3446618951846006,-1.8693139345290688,0.5246520393444682,63.281670872796,-256677900.0,130.11258
105,2023-04-14,132.8982391357422,JPM,124.47940811867916,124.93077092237613,-0.4513628036969663,-1.5857237083626483,1.134360904665682,87.66499992091441,-212746600.0,133.36685
106,2023-04-17,133.9519805908203,JPM,125.93672696054702,125.5990086755942,0.337718284952814,-1.201035309699556,1.53875359465237,85.90491091103988,-196696100.0,131.87572
107,2023-04-18,135.4559783935547,JPM,127.40122718100974,126.32915458062833,1.072072600381432,-0.7464137276833585,1.8184863280647905,86.81273416521739,-182936000.0,129.61937
108,2023-04-19,135.2835693359375,JPM,128.6138952048448,126.99244456250308,1.6214506423417276,-0.2728408536783412,1.894291496020069,85.77250375456285,-192094100.0,131.2233
109,2023-04-20,134.8907928466797,JPM,129.57957176512707,127.577507398368,2.002064366759072,0.1821401904091414,1.8199241763499303,85.66451570255985,-202680300.0,131.6289
110,2023-04-21,134.63214111328125,JPM,130.35689012638156,128.10007285873195,2.256817267649609,0.597075605857235,1.659741661792374,83.00422069543298,-214522800.0,128.87321
111,2023-04-24,134.81414794921875,JPM,131.04262209912574,128.59741175432356,2.4452103448021774,0.9667025536462236,1.478507791155954,83.91676522933076,-206955300.0,130.53204
112,2023-04-25,131.88279724121094,JPM,131.1718798132927,128.84077364224115,2.3311061710515446,1.239583277127288,1.0915228939242567,77.83822671205527,-217584600.0,129.22821
113,2023-04-26,129.5453643798828,JPM,130.92164666969117,128.89296554873312,2.028681120958055,1.397402845893441,0.6312782750646135,68.44148354656014,-232000700.0,132.4221
114,2023-04-27,131.2888641357422,JPM,130.97814166446827,129.0704395181412,1.907702146327068,1.4994627059801668,0.4082394403469014,71.44140540609914,-222959600.0,129.06189
115,2023-04-28,132.4288330078125,JPM,131.2013249480597,129.319209406265,1.8821155417946895,1.5759932731430717,0.3061222686516183,72.39295897837778,-213077800.0,132.816
116,2023-05-01,135.26438903808594,JPM,131.82641173114064,129.7595930826962,2.066818648444439,1.674158348203345,0.392660300241094,74.92140673338146,-192662000.0,129.89178
117,2023-05-02,133.0802459716797,JPM,132.0193093066082,130.00556737076906,2.0137419358391355,1.742075065730503,0.2716668701086324,68.80872163865969,-206775400.0,130.5439
118,2023-05-03,130.26382446289062,JPM,131.74923471526702,130.02469752574103,1.7245371895259891,1.7385674904896005,-0.0140303009636111,61.59205809454602,-219706300.0,129.8997
119,2023-05-04,128.48202514648438,JPM,131.24658708930048,129.91042549764796,1.3361615916525125,1.658086310722183,-0.3219247190696706,39.64970328202905,-236795500.0,133.20395
120,2023-05-05,130.99188232421875,JPM,131.20740174082636,129.99053341072727,1.2168683300990892,1.5698427145975644,-0.3529743844984752,43.5056713603833,-225536400.0,131.3075
121,2023-05-08,131.30801391601562,JPM,131.2228805370093,130.08812455926716,1.1347559777421452,1.4828253672264808,-0.3480693894843356,40.39912157088781,-218051500.0,133.97627
122,2023-05-09,130.67576599121094,JPM,131.13870906842493,130.13165355422595,1.0070555141989814,1.387671396620981,-0.3806158824219996,39.55707562013909,-225395100.0,130.67429
123,2023-05-10,130.74281311035156,JPM,131.0778019979521,130.17692463245749,0.9008773654946084,1.290312590395707,-0.3894352249010984,40.45832286180816,-217261700.0,131.40427
124,2023-05-11,130.3308868408203,JPM,130.96289197377797,130.18832924048436,0.7745627332936067,1.1871626189752866,-0.4125998856816799,40.17502438058671,-224319000.0,132.63849
125,2023-05-12,128.46286010742188,JPM,130.57827168664627,130.06051671210938,0.5177549745368992,1.053281090087609,-0.5355261155507098,36.52984586786863,-234305400.0,130.20403
126,2023-05-15,129.5453643798828,JPM,130.4193628702211,130.0223572800926,0.397005590128515,0.9220259900957904,-0.5250203999672753,44.62079456580366,-226665900.0,132.351
127,2023-05-16,128.6736297607422,JPM,130.15078854568588,129.92245153791848,0.2283370077674078,0.7832881936301139,-0.5549511858627061,47.848723015839546,-233143100.0,130.93103
128,2023-05-17,132.63002014160156,JPM,130.53220879121136,130.12301217522833,0.4091966159830349,0.7084698781006982,-0.2992732621176632,52.98382716384672,-220431600.0,132.13062
129,2023-05-18,133.63584899902344,JPM,131.0096919001055,130.38322231032427,0.6264695897812373,0.692069820436806,-0.0656002306555686,52.70151477170504,-209432000.0,132.11945
130,2023-05-19,133.3292999267578,JPM,131.36655467343664,130.60145028191195,0.7651043915246873,0.7066767346543823,0.058427656870305,45.11602793790071,-222922700.0,130.53076
131,2023-05-22,132.2276611328125,JPM,131.49903259026368,130.72191034494162,0.7771222453220616,0.7207658367879182,0.0563564085341434,47.72378224896425,-234325200.0,129.93163
132,2023-05-23,130.84820556640625,JPM,131.39890535582407,130.7312655465316,0.6676398092924671,0.710140631288828,-0.0425008219963608,51.6898283785978,-243840100.0,129.99355
133,2023-05-24,129.65072631835938,JPM,131.12995473467566,130.65122560370403,0.4787291309716295,0.6638583312253883,-0.1851292002537587,53.49767740921986,-252418100.0,129.35864
